# tracer: function_graph
#
# entries-in-buffer/entries-written: 15876/15876   #P:6
#
#                                      _-----=> irqs-off
#                                     / _----=> need-resched
#                                    | / _---=> hardirq/softirq
#                                    || / _--=> preempt-depth
#                                    ||| /     delay
#           TASK-PID    TGID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |        |      |   ||||       |         |
          <idle>-0     (-----) [003] d.h1   875.806137: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] d..1   875.806141: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.806146: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.810574: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] d.h1   875.810580: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [000] dNh1   875.810606: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.810612: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.810658: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.810669: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.810726: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.810729: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.810787: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.810790: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.810961: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.810971: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.810989: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.810999: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.815945: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.815945: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.815948: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.815951: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.815954: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.815959: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.815959: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.815963: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [001] d..1   875.815965: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.815983: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.815984: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.815991: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.825784: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.825784: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.825788: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.825790: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.825798: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.825804: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] d..1   875.825822: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.825867: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.826976: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] d.h1   875.826982: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [000] dNh1   875.827008: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.827014: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.827060: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.827070: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.827126: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.827129: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.827186: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.827190: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.827372: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.827382: graph_ret: func=gic_handle_irq
